City,Country,R0,Population,Density,Temperature,RH,Daylight,UV,Longitude,Latitude,Elevation,Day0,DayS,DayE,retail_and_recreation_lag2,grocery_and_pharmacy_lag2,parks_lag2,transit_stations_lag2,workplace_lag2,residential_lag2,IHRcapacity,GDP_country,GDP_city,Airqual_city,Airqual_country,Elder_city,Elder_country,Life_expect,CRD_prev,MeanStringencyIndex_lag2
Buenos Aires,Argentina,1.7755,15130000,4700,22.97391304,75.46956522,12.11684441,83.96469,-58.37722778,-34.61314881,6,65,06/03/2020,28/03/2020,3.782608696,11.43478261,4.260869565,5.043478261,-1.52173913,1.391304348,61,20610.56855,NA,NA,13.31183395,NA,17.1,76.9,0.087221952,13.52565217
Melbourne,Australia,1.6345,4450000,1600,18.40434783,63.35652174,11.9274832,75.55682,144.9633229,-37.81399656,7,70,11/03/2020,02/04/2020,-4.260869565,10.73913043,-4.52173913,0,-3.739130435,3.217391304,92,51663.36509,42674,14.3,8.550324401,20.3,22.6,82.9,0.143221751,22.21869565
Sydney,Australia,1.7332,4515000,2000,20.75769231,74.06923077,12.16653061,75.89098,151.2073231,-33.86784996,39,62,03/03/2020,28/03/2020,1.461538462,8.269230769,6.384615385,4.615384615,3.538461538,0.384615385,92,51663.36509,49860,7.1,8.550324401,20.5,22.6,82.9,0.143221751,19.44
Brussels,Belgium,1.4747,2135000,2700,7.248571429,69.63055556,11.92031242,52.5142,4.348783493,50.85044506,100,61,02/03/2020,05/04/2020,-22.08571429,-5.485714286,-8.828571429,-17.57142857,-16.88571429,6.314285714,84,51407.99834,74574,14.3,12.88651847,24.9,28,81.2,0.12455817,26.77228571
Liege,Belgium,1.6251,565000,2000,6.536111111,69.4,11.92092973,53.07729,5.567493439,50.63372987,186,61,02/03/2020,05/04/2020,-16.45714286,-4.057142857,-1.942857143,-14.31428571,-15,5.6,84,51407.99834,37304,11.7,12.88651847,28.9,28,81.2,0.12455817,26.77228571
Aracaju,Brazil,NA,830000,7100,28.36727273,57.90545455,12.42937996,119.3678,-37.07166667,-10.91111111,5,6,07/01/2020,01/03/2020,2,1,-19,-20,2,0.5,87,16096.40096,NA,NA,12.70662947,NA,11.4,75.1,0.083084112,5.200425532
Belem,Brazil,1.4841,2060000,8000,25.96949153,88.985,11.99321451,71.84414,-48.50444444,-1.455833333,10,55,25/02/2020,24/04/2020,-30.10714286,-7.928571429,-30.125,-17.46428571,-14.60714286,7.482142857,87,16096.40096,NA,NA,12.70662947,NA,11.4,75.1,0.083084112,NA
Belo Horizonte,Brazil,1.5875,4800000,3800,22.57254902,75.19807692,12.23896585,92.26981,-43.93777778,-19.92083333,850,41,11/02/2020,02/04/2020,0.5,10.26470588,24.23529412,8.382352941,4.235294118,1.029411765,87,16096.40096,NA,NA,12.70662947,NA,11.4,75.1,0.083084112,16.39
Blumenau,Brazil,1.3055,735000,7100,21.725,76.14333333,11.43192705,78.45191,-49.06611111,-26.91944444,86,72,13/03/2020,11/05/2020,-41.8,-12.26666667,-44.15,-46.03333333,-25.71666667,14,87,16096.40096,NA,NA,12.70662947,NA,11.4,75.1,0.083084112,68.7715
Brasilia,Brazil,1.1927,3320000,3400,21.49661017,79.72,11.86674821,88.74261,-47.8836262,-15.8004769,1159,59,29/02/2020,28/04/2020,-28.76666667,-2.683333333,-24.71666667,-23.46666667,-17.85,10.38333333,87,16096.40096,NA,NA,12.70662947,NA,11.4,75.1,0.083084112,46.7115
Campinas,Brazil,1.2162,2770000,3000,21.81525424,66.06,11.65214407,94.08629,-47.06083333,-22.90555556,661,66,07/03/2020,05/05/2020,-42,-9.083333333,-33.83333333,-35.1,-24.81666667,12.83333333,87,16096.40096,NA,NA,12.70662947,NA,11.4,75.1,0.083084112,57.03766667
Campo Grande,Brazil,1.2444,865000,3000,25.01016949,60.85333333,11.90038526,103.8198,-54.64638889,-20.44277778,530,55,25/02/2020,24/04/2020,-26.83928571,-5.982142857,-22.57142857,-21.98214286,-10.25,6.482142857,87,16096.40096,NA,NA,12.70662947,NA,11.4,75.1,0.083084112,40.57083333
Cuiaba,Brazil,1.4747,765000,2100,28.03913043,71.86170213,12.11966286,101.3527,-56.09666667,-15.59611111,151,48,18/02/2020,04/04/2020,-5.305555556,2.666666667,-11.77777778,0.055555556,0.666666667,1.361111111,87,16096.40096,NA,NA,12.70662947,NA,11.4,75.1,0.083084112,17.71
